island,site,date,lizard_id,blattodea,coleoptera,diptera,embioptera,hemiptera,hymenoptera,isoptera,lepidoptera,neuroptera,odonata,orthoptera,psocoptera,raphidioptera,thysanura,insect_egg,spider_egg,coleoptera_larvae,diptera_larvae,lepidoptera_larvae,neuroptera_larvae,odonata_larvae,acari,araneae,chilopoda,diplopoda,isopoda,pseudoscorpiones,gastropoda,sea_shell,berry,flower_parts,juniper_berry,leaf,seed,seed_pod,stick,lizard,sand,salt,comments
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-08,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-04,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mealworm
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-09,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-10,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-16-a,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-13,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-15,0,2,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-16-b,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-17,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-03,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-05,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parthenos,PARTHENOS,19-Jun-14,PAR-617-03,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parthenos,PARTHENOS,19-Jun-14,PAR-617-09,0,11,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,formicidae; cuccurlionidae
Parthenos,PARTHENOS,19-Jun-14,PAR-617-06,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,formicidae
Parthenos,PARTHENOS,19-Jun-14,PAR-617-01,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,formicidae; cuccurlionidae; coccinellidae
Parthenos,PARTHENOS,19-Jun-14,PAR-617-13,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parthenos,PARTHENOS,19-Jun-14,PAR-617-10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parthenos,PARTHENOS,19-Jun-14,PAR-617-19,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
Parthenos,PARTHENOS,19-Jun-14,PAR-617-18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
